language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
fa-IR,0,embedding,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,0,embedding,neg,0.94,0.0,1263,50,50,3
fa-IR,0,embedding,time,0.94,0.0,1263,50,165,3
fa-IR,1,layer_1,ARG0,0.66,0.2608695652173913,1263,50,396,19
fa-IR,1,layer_1,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,1,layer_1,ARG2,0.62,0.759493670886076,1263,50,798,33
fa-IR,1,layer_1,neg,0.94,0.0,1263,50,50,3
fa-IR,1,layer_1,time,0.94,0.0,1263,50,165,3
fa-IR,2,layer_2,ARG0,0.62,0.0,1263,50,396,19
fa-IR,2,layer_2,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,2,layer_2,ARG2,0.64,0.7804878048780488,1263,50,798,33
fa-IR,2,layer_2,neg,0.94,0.0,1263,50,50,3
fa-IR,2,layer_2,time,0.94,0.0,1263,50,165,3
fa-IR,3,layer_3,ARG0,0.62,0.0,1263,50,396,19
fa-IR,3,layer_3,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,3,layer_3,ARG2,0.66,0.7951807228915663,1263,50,798,33
fa-IR,3,layer_3,neg,0.94,0.0,1263,50,50,3
fa-IR,3,layer_3,time,0.94,0.0,1263,50,165,3
fa-IR,4,layer_4,ARG0,0.62,0.0,1263,50,396,19
fa-IR,4,layer_4,ARG1,0.86,0.9247311827956989,1263,50,1050,43
fa-IR,4,layer_4,ARG2,0.66,0.7792207792207793,1263,50,798,33
fa-IR,4,layer_4,neg,0.94,0.0,1263,50,50,3
fa-IR,4,layer_4,time,0.94,0.0,1263,50,165,3
fa-IR,5,layer_5,ARG0,0.82,0.7428571428571429,1263,50,396,19
fa-IR,5,layer_5,ARG1,0.84,0.9024390243902439,1263,50,1050,43
fa-IR,5,layer_5,ARG2,0.74,0.8311688311688312,1263,50,798,33
fa-IR,5,layer_5,neg,0.94,0.0,1263,50,50,3
fa-IR,5,layer_5,time,0.94,0.0,1263,50,165,3
fa-IR,6,layer_6,ARG0,0.84,0.8,1263,50,396,19
fa-IR,6,layer_6,ARG1,0.76,0.8421052631578947,1263,50,1050,43
fa-IR,6,layer_6,ARG2,0.64,0.7692307692307693,1263,50,798,33
fa-IR,6,layer_6,neg,0.92,0.0,1263,50,50,3
fa-IR,6,layer_6,time,0.94,0.0,1263,50,165,3
